id_dettaglio,id_ordine,id_prodotto,quantità,prezzo_unitario
162,30,89,2,852.09
163,206,30,2,885.26
164,34,234,1,355.05
165,370,102,3,161.96
166,378,238,5,195.58
167,407,64,1,75.5
168,248,191,4,457.43
169,609,229,2,450.93
170,486,283,3,333.15
171,353,84,3,159.02
172,767,47,3,157.08
173,29,198,1,242.35
174,167,293,2,33.73
175,227,116,2,547.86
176,276,210,5,350.47
177,21,5,4,98.23
178,136,89,5,852.09
179,9,115,3,945.33
180,623,157,3,984.02
181,434,193,3,835.74
182,471,130,2,28.55
183,478,155,5,674.43
184,639,204,5,577.92
185,105,4,5,592.54
186,679,192,5,281.87
187,663,145,3,668.56
188,701,56,4,964.54
189,66,173,3,275.36
190,656,167,3,831.42
191,268,153,2,660.56
192,154,265,2,688.95
193,59,207,3,106.39
194,698,72,1,801.59
195,672,255,3,908.96
196,266,215,4,735.13
197,398,19,5,383.23
198,726,293,2,33.73
199,352,114,5,563.1
200,654,244,3,698.93
201,520,154,2,97.92
202,674,286,2,326.66
203,301,50,4,116.31
204,132,133,5,681.12
205,782,94,3,935.03
206,671,46,2,842.46
207,364,115,3,945.33
208,431,170,3,840.66
209,267,300,3,835.55
210,475,61,4,590.5
211,55,299,5,511.33
212,636,37,4,598.43
213,200,257,1,611.58
214,698,196,5,755.46
215,306,212,1,17.59
216,155,71,2,65.31
217,351,210,5,350.47
218,469,74,3,144.48
219,733,93,1,422.13
220,500,171,2,628.61
221,321,30,1,885.26
222,463,141,2,6.68
223,780,87,5,586.26
224,783,82,4,268.88
225,782,46,2,842.46
226,630,223,4,798.84
227,414,220,4,751.72
228,393,3,1,678.32
229,547,103,3,613.62
230,15,165,5,459.18
231,196,10,1,159.7
232,642,128,2,226.32
233,711,177,3,544.9
234,133,53,4,978.09
235,516,157,2,984.02
236,67,24,3,989.58
237,298,234,5,355.05
238,611,269,3,597.07
239,445,69,3,357.53
240,502,184,2,488.21
241,169,207,1,106.39
242,234,115,2,945.33
243,217,12,5,362.18
244,517,87,1,586.26
245,376,20,4,166.84
246,656,131,5,331.62
247,639,25,5,686.19
248,50,56,1,964.54
249,50,60,4,341.4
250,455,195,1,228.1
251,561,130,4,28.55
252,719,79,2,170.48
253,712,5,3,98.23
254,431,52,5,90.23
255,277,71,4,65.31
256,108,262,5,690.92
257,121,145,1,668.56
258,109,255,2,908.96
259,624,103,3,613.62
260,536,104,3,669.52
261,721,210,3,350.47
262,165,21,5,671.82
263,509,107,4,275.99
264,339,121,1,973.97
265,14,46,1,842.46
266,588,253,2,560.28
267,93,262,1,690.92
268,741,52,3,90.23
269,660,119,4,214.03
270,304,136,4,112.86
271,52,52,2,90.23
272,41,149,3,409.04
273,694,161,4,893.2
274,757,60,1,341.4
275,777,24,1,989.58
276,142,88,3,61.6
277,367,225,5,558.01
278,275,48,3,541.68
279,351,94,1,935.03
280,411,205,4,941.76
281,279,198,4,242.35
282,432,86,1,749.24
283,136,31,2,147.16
284,107,214,5,708.77
285,495,292,4,881.44
286,186,195,3,228.1
287,627,15,2,554.28
288,495,250,1,78.71
289,422,226,1,90.18
290,65,134,3,939.54
291,13,269,5,597.07
292,742,290,2,761.19
293,686,174,5,142.68
294,536,49,4,600.95
295,678,128,4,226.32
296,355,198,2,242.35
297,572,28,1,913.57
298,659,81,5,168.81
299,481,254,2,776.82
300,77,252,3,89.76
301,247,170,3,840.66
302,52,260,2,243.67
303,564,194,4,750.28
304,241,41,4,769.76
305,455,294,4,711.23
306,91,256,4,308.85
307,324,61,4,590.5
308,764,10,1,159.7
309,414,212,1,17.59
310,571,282,1,324.45
311,94,156,5,151.62
312,576,106,4,268.14
313,350,187,1,907.39
314,229,233,3,428.38
315,574,243,3,277.94
316,734,232,1,475.89
317,100,114,1,563.1
318,350,182,3,754.71
319,561,268,3,76.05
320,719,55,1,268.73
321,169,253,2,560.28
322,735,210,1,350.47
323,261,101,2,879.87
324,124,202,2,778.9
325,469,98,3,14.27
326,111,213,1,110.01
327,649,64,4,75.5
328,469,259,2,268.32
329,511,3,5,678.32
330,754,25,5,686.19
331,444,300,4,835.55
332,521,91,5,124.29
333,178,66,1,724.74
334,397,165,5,459.18
335,394,215,5,735.13
336,710,128,3,226.32
337,408,176,3,68.91
338,464,69,2,357.53
339,423,263,3,37.48
340,719,281,3,472.66
341,729,284,2,291.78
342,206,108,5,719.02
343,732,149,3,409.04
344,689,68,2,194.46
345,516,278,3,473.15
346,728,60,3,341.4
347,576,246,5,472.05
348,585,214,5,708.77
349,293,217,1,467.55
350,536,55,1,268.73
351,391,75,1,465.31
352,687,29,2,216.56
353,274,83,3,288.82
354,700,129,2,308.66
355,64,152,2,513.62
356,772,278,1,473.15
357,368,232,1,475.89
358,631,288,2,416.18
359,761,288,4,416.18
360,244,262,3,690.92
361,710,25,4,686.19
362,397,214,3,708.77
363,566,28,1,913.57
364,762,129,2,308.66
365,636,227,2,491.13
366,649,189,5,867.52
367,560,101,2,879.87
368,302,230,2,297.76
369,700,39,2,971.22
370,178,264,1,704.47
371,387,21,4,671.82
372,286,285,3,457.55
373,134,83,5,288.82
374,262,3,3,678.32
375,478,80,1,217.68
376,158,166,5,950.29
377,53,155,4,674.43
378,587,282,3,324.45
379,75,163,5,805.09
380,226,95,5,242.49
381,70,259,2,268.32
382,426,279,5,916.49
383,414,48,3,541.68
384,227,110,3,96.84
385,340,185,3,670.53
386,224,272,4,440.57
387,575,5,1,98.23
388,685,178,4,210.8
389,247,125,1,783.47
390,699,165,4,459.18
391,117,198,3,242.35
392,554,145,1,668.56
393,530,192,5,281.87
394,521,229,4,450.93
395,45,152,2,513.62
396,329,264,1,704.47
397,99,86,5,749.24
398,547,4,1,592.54
399,216,110,4,96.84
400,107,106,5,268.14
401,720,223,1,798.84
402,765,79,1,170.48
403,471,170,1,840.66
404,90,38,1,597.91
405,183,129,5,308.66
406,73,295,2,554.49
407,265,209,4,797.25
408,462,208,4,851.04
409,324,9,4,699.65
410,690,61,5,590.5
411,7,33,5,748.28
412,47,38,3,597.91
413,515,55,3,268.73
414,703,155,5,674.43
415,89,145,4,668.56
416,391,203,1,112.56
417,486,81,5,168.81
418,226,70,4,864.52
419,559,152,2,513.62
420,306,192,1,281.87
421,567,285,2,457.55
422,127,22,1,611.09
423,587,202,5,778.9
424,561,44,3,972.03
425,216,177,2,544.9
426,423,263,2,37.48
427,165,95,2,242.49
428,632,130,2,28.55
429,118,93,5,422.13
430,56,282,4,324.45
431,661,282,1,324.45
432,298,35,3,95.45
433,101,102,5,161.96
434,499,170,3,840.66
435,132,121,1,973.97
436,292,36,2,157.08
437,326,249,4,823.01
438,337,157,5,984.02
439,157,290,5,761.19
440,374,162,4,779.53
441,173,3,3,678.32
442,253,114,4,563.1
443,284,185,2,670.53
444,696,170,4,840.66
445,474,229,3,450.93
446,794,157,4,984.02
447,565,56,2,964.54
448,662,42,3,297.03
449,144,276,2,999.57
450,270,40,1,683.3
451,20,260,1,243.67
452,596,297,4,947.33
453,788,109,1,507.88
454,565,134,5,939.54
455,553,242,2,19.08
456,375,201,2,171.95
457,791,149,2,409.04
458,476,257,5,611.58
459,93,204,3,577.92
460,515,6,2,563.44
461,629,85,5,968.87
462,144,229,2,450.93
463,184,290,5,761.19
464,676,75,4,465.31
465,368,21,2,671.82
466,780,250,2,78.71
467,65,136,3,112.86
468,240,22,2,611.09
469,531,185,4,670.53
470,481,233,1,428.38
471,41,166,1,950.29
472,721,267,3,649.4
473,760,135,5,182.67
474,558,292,2,881.44
475,386,194,3,750.28
476,602,40,5,683.3
477,258,193,2,835.74
478,529,208,3,851.04
479,354,250,4,78.71
480,619,4,5,592.54
481,143,226,2,90.18
482,236,40,5,683.3
483,659,144,2,721.16
484,154,96,2,673.33
485,371,61,2,590.5
486,425,170,1,840.66
487,494,246,4,472.05
488,216,83,4,288.82
489,23,125,1,783.47
490,131,294,5,711.23
491,165,69,5,357.53
492,41,294,2,711.23
493,58,86,3,749.24
494,185,265,4,688.95
495,614,289,1,624.52
496,737,146,1,698.72
497,222,230,5,297.76
498,483,247,2,188.44
499,225,211,5,73.61
500,147,299,2,511.33
501,639,262,3,690.92
502,172,176,4,68.91
503,611,36,2,157.08
504,388,198,2,242.35
505,112,9,2,699.65
506,536,259,4,268.32
507,154,50,2,116.31
508,488,20,5,166.84
509,516,61,1,590.5
510,494,67,5,246.78
511,553,1,4,29.89
512,535,216,3,617.83
513,45,272,4,440.57
514,235,247,4,188.44
515,359,295,1,554.49
516,436,69,3,357.53
517,489,120,1,356.91
518,291,279,4,916.49
519,264,97,1,319.6
520,727,4,5,592.54
521,536,61,5,590.5
522,8,193,2,835.74
523,705,162,4,779.53
524,371,55,2,268.73
525,437,300,3,835.55
526,268,275,4,232.78
527,579,188,5,88.53
528,283,204,2,577.92
529,424,283,5,333.15
530,495,92,3,581.02
531,573,285,4,457.55
532,260,158,5,458.14
533,353,204,2,577.92
534,676,61,2,590.5
535,458,83,1,288.82
536,220,261,4,160.75
537,347,282,5,324.45
538,714,27,2,404.16
539,399,3,1,678.32
540,149,242,5,19.08
541,446,46,1,842.46
542,270,114,3,563.1
543,82,20,4,166.84
544,411,267,3,649.4
545,729,30,2,885.26
546,656,254,4,776.82
547,11,104,5,669.52
548,293,100,1,136.79
549,614,262,5,690.92
550,716,119,5,214.03
551,174,19,3,383.23
552,245,1,2,29.89
553,89,142,4,367.4
554,362,203,4,112.56
555,601,103,5,613.62
556,16,36,1,157.08
557,563,146,5,698.72
558,597,179,3,905.31
559,284,116,5,547.86
560,200,233,4,428.38
561,589,3,3,678.32
562,180,209,5,797.25
563,110,287,1,865.59
564,516,151,3,467.66
565,120,263,3,37.48
566,551,295,3,554.49
567,711,227,4,491.13
568,577,248,2,941.36
569,776,174,4,142.68
570,698,236,5,722.68
571,29,247,1,188.44
572,265,35,4,95.45
573,649,113,2,742.52
574,324,212,3,17.59
575,529,275,1,232.78
576,718,135,2,182.67
577,295,48,4,541.68
578,690,176,1,68.91
579,568,92,4,581.02
580,322,182,2,754.71
581,588,138,2,608.18
582,765,98,4,14.27
583,755,103,2,613.62
584,754,124,3,29.66
585,212,118,2,367.83
586,256,183,2,490.79
587,798,55,1,268.73
588,81,253,5,560.28
589,7,278,1,473.15
590,494,191,5,457.43
591,323,253,5,560.28
592,282,252,2,89.76
593,783,262,3,690.92
594,408,114,5,563.1
595,132,28,5,913.57
596,434,245,5,107.07
597,34,258,3,947.85
598,404,90,4,676.84
599,124,266,4,428.01
600,324,5,1,98.23
601,691,108,4,719.02
602,595,52,3,90.23
603,371,133,2,681.12
604,562,135,2,182.67
605,276,242,5,19.08
606,352,188,2,88.53
607,511,218,2,325.69
608,430,191,3,457.43
609,411,144,4,721.16
610,185,293,2,33.73
611,590,118,1,367.83
612,739,139,2,388.27
613,569,222,4,185.93
614,201,75,2,465.31
615,485,5,2,98.23
616,432,256,2,308.85
617,646,265,5,688.95
618,738,162,4,779.53
619,308,129,5,308.66
620,582,25,4,686.19
621,102,84,1,159.02
622,221,131,4,331.62
623,645,50,4,116.31
624,763,172,3,82.1
625,370,185,5,670.53
626,571,132,3,354.39
627,21,211,1,73.61
628,360,102,5,161.96
629,590,276,2,999.57
630,800,146,3,698.72
631,333,262,4,690.92
632,794,229,1,450.93
633,391,147,4,195.88
634,647,75,2,465.31
635,656,173,4,275.36
636,647,293,4,33.73
637,74,41,2,769.76
638,352,117,3,432.64
639,325,150,3,290.48
640,620,203,3,112.56
641,456,186,5,841.3
642,534,231,4,309.67
643,172,95,1,242.49
644,129,121,3,973.97
645,762,41,2,769.76
646,171,204,1,577.92
647,98,33,4,748.28
648,562,28,1,913.57
649,790,204,5,577.92
650,784,43,1,8.23
651,269,80,1,217.68
652,671,200,3,700.97
653,235,127,3,385.63
654,454,65,2,670.63
655,540,88,1,61.6
656,36,183,3,490.79
657,488,240,5,980.61
658,279,281,4,472.66
659,139,277,2,578.37
660,606,234,5,355.05
661,446,269,5,597.07
662,318,178,4,210.8
663,553,117,1,432.64
664,453,158,3,458.14
665,423,134,2,939.54
666,311,6,1,563.44
667,536,70,3,864.52
668,294,241,5,231.35
669,9,252,4,89.76
670,307,5,4,98.23
671,300,119,1,214.03
672,562,192,2,281.87
673,422,288,4,416.18
674,405,128,2,226.32
675,733,200,4,700.97
676,226,135,1,182.67
677,433,123,5,976.33
678,783,140,3,258.45
679,665,273,3,889.98
680,423,97,1,319.6
681,187,70,3,864.52
682,114,234,5,355.05
683,464,140,5,258.45
684,504,97,3,319.6
685,20,78,1,969.15
686,548,12,2,362.18
687,105,145,3,668.56
688,129,225,1,558.01
689,239,47,2,157.08
690,16,253,2,560.28
691,351,216,3,617.83
692,511,191,4,457.43
693,714,17,3,50.6
694,83,75,1,465.31
695,273,201,1,171.95
696,557,241,2,231.35
697,197,129,4,308.66
698,13,63,2,72.06
699,395,227,2,491.13
700,756,18,2,985.3
701,472,49,5,600.95
702,682,107,4,275.99
703,399,160,3,402.65
704,163,22,5,611.09
705,534,63,3,72.06
706,493,153,2,660.56
707,370,27,2,404.16
708,116,121,4,973.97
709,333,8,2,810.38
710,283,300,1,835.55
711,406,125,1,783.47
712,44,298,4,500.88
713,705,80,3,217.68
714,790,46,2,842.46
715,162,256,1,308.85
716,703,174,1,142.68
717,62,183,2,490.79
718,719,275,1,232.78
719,129,250,2,78.71
720,325,286,3,326.66
721,450,99,1,77.89
722,706,194,3,750.28
723,742,69,3,357.53
724,41,249,4,823.01
725,573,151,5,467.66
726,714,251,2,155.97
727,581,96,5,673.33
728,357,166,4,950.29
729,282,284,2,291.78
730,71,272,2,440.57
731,461,152,3,513.62
732,555,188,4,88.53
733,1,260,4,243.67
734,752,95,1,242.49
735,635,187,5,907.39
736,245,165,1,459.18
737,675,276,4,999.57
738,195,269,4,597.07
739,785,283,2,333.15
740,628,145,3,668.56
741,420,165,1,459.18
742,99,268,1,76.05
743,45,67,2,246.78
744,33,104,1,669.52
745,498,99,1,77.89
746,33,293,4,33.73
747,674,251,5,155.97
748,639,132,1,354.39
749,376,114,5,563.1
750,736,37,1,598.43
751,214,252,1,89.76
752,480,32,3,746.26
753,572,213,3,110.01
754,726,30,5,885.26
755,273,271,1,701.24
756,752,37,3,598.43
757,80,111,5,48.87
758,100,52,2,90.23
759,545,198,2,242.35
760,198,270,2,441.96
761,584,92,5,581.02
762,768,286,4,326.66
763,765,55,5,268.73
764,367,235,4,310.09
765,107,86,2,749.24
766,564,206,5,594.14
767,346,81,5,168.81
768,615,227,3,491.13
769,323,282,3,324.45
770,381,212,4,17.59
771,744,166,5,950.29
772,247,289,5,624.52
773,220,193,5,835.74
774,763,131,3,331.62
775,464,230,4,297.76
776,1,18,3,985.3
777,611,9,5,699.65
778,139,155,1,674.43
779,308,114,2,563.1
780,323,12,3,362.18
781,567,262,5,690.92
782,585,293,2,33.73
783,97,20,4,166.84
784,365,80,2,217.68
785,272,188,5,88.53
786,256,120,3,356.91
787,308,48,5,541.68
788,410,292,2,881.44
789,752,40,3,683.3
790,495,89,4,852.09
791,707,296,1,992.3
792,610,154,1,97.92
793,749,296,4,992.3
794,81,29,3,216.56
795,357,223,4,798.84
796,124,117,5,432.64
797,12,196,1,755.46
798,313,269,1,597.07
799,327,277,5,578.37
800,154,168,5,897.72
801,715,114,2,563.1
802,52,202,4,778.9
803,771,295,5,554.49
804,93,114,4,563.1
805,297,202,2,778.9
806,136,173,1,275.36
807,488,293,1,33.73
808,562,205,3,941.76
809,88,205,5,941.76
810,445,67,2,246.78
811,493,287,2,865.59
812,500,203,5,112.56
813,201,288,5,416.18
814,754,269,2,597.07
815,249,37,3,598.43
816,796,221,3,339.71
817,702,295,1,554.49
818,116,212,4,17.59
819,375,179,2,905.31
820,329,177,5,544.9
821,672,13,3,808.09
822,174,180,5,857.45
823,453,75,4,465.31
824,46,120,2,356.91
825,702,192,2,281.87
826,776,44,1,972.03
827,758,28,2,913.57
828,636,76,3,808.98
829,15,176,1,68.91
830,313,231,4,309.67
831,24,170,2,840.66
832,758,276,2,999.57
833,209,280,5,636.61
834,769,133,5,681.12
835,495,73,1,195.63
836,386,299,5,511.33
837,45,131,2,331.62
838,62,146,2,698.72
839,714,139,1,388.27
840,477,5,1,98.23
841,398,139,3,388.27
842,111,10,3,159.7
843,665,198,2,242.35
844,390,261,1,160.75
845,324,249,5,823.01
846,545,46,2,842.46
847,204,257,4,611.58
848,575,12,1,362.18
849,254,272,3,440.57
850,342,251,4,155.97
851,763,81,1,168.81
852,356,181,3,479.59
853,641,155,2,674.43
854,514,142,1,367.4
855,641,132,4,354.39
856,31,285,3,457.55
857,231,78,3,969.15
858,403,71,1,65.31
859,748,196,5,755.46
860,695,117,4,432.64
861,247,294,2,711.23
862,437,160,5,402.65
863,338,230,5,297.76
864,135,106,2,268.14
865,595,278,2,473.15
866,142,159,5,719.75
867,139,221,2,339.71
868,672,290,2,761.19
869,326,35,5,95.45
870,546,61,2,590.5
871,326,75,1,465.31
872,784,164,4,54.97
873,422,156,4,151.62
874,764,141,2,6.68
875,798,97,1,319.6
876,135,95,1,242.49
877,781,137,5,729.9
878,581,119,5,214.03
879,238,119,1,214.03
880,368,41,4,769.76
881,138,258,5,947.85
882,481,192,2,281.87
883,397,252,4,89.76
884,141,84,2,159.02
885,232,17,4,50.6
886,783,8,3,810.38
887,423,114,2,563.1
888,776,105,1,932.1
889,182,225,5,558.01
890,502,167,4,831.42
891,253,219,4,282.53
892,795,22,5,611.09
893,753,195,3,228.1
894,404,293,5,33.73
895,550,269,1,597.07
896,534,56,4,964.54
897,468,22,2,611.09
898,532,276,4,999.57
899,753,21,5,671.82
900,397,265,1,688.95
901,195,150,4,290.48
902,408,156,3,151.62
903,473,86,4,749.24
904,302,28,5,913.57
905,146,238,4,195.58
906,93,257,1,611.58
907,185,300,5,835.55
908,139,202,4,778.9
909,332,231,1,309.67
910,184,233,5,428.38
911,730,104,4,669.52
912,93,129,3,308.66
913,709,84,1,159.02
914,94,59,4,125.4
915,650,186,1,841.3
916,537,197,5,840.03
917,627,82,4,268.88
918,564,195,1,228.1
919,787,88,3,61.6
920,580,77,2,55.34
921,149,92,1,581.02
922,430,158,3,458.14
923,748,229,3,450.93
924,642,93,1,422.13
925,135,104,1,669.52
926,638,130,1,28.55
927,470,255,4,908.96
928,557,3,5,678.32
929,506,122,2,926.14
930,603,244,4,698.93
931,420,227,1,491.13
932,616,4,2,592.54
933,561,143,5,625.04
934,644,286,2,326.66
935,51,95,2,242.49
936,57,179,1,905.31
937,149,17,5,50.6
938,618,153,3,660.56
939,90,26,1,232.9
940,427,92,2,581.02
941,689,146,5,698.72
942,677,294,5,711.23
943,182,234,5,355.05
944,369,19,1,383.23
945,787,154,3,97.92
946,378,195,1,228.1
947,777,219,5,282.53
948,67,150,4,290.48
949,138,63,3,72.06
950,338,270,4,441.96
951,538,108,2,719.02
952,627,30,1,885.26
953,586,271,1,701.24
954,496,148,4,678.93
955,624,163,3,805.09
956,539,295,5,554.49
957,363,67,5,246.78
958,577,255,5,908.96
959,747,255,4,908.96
960,185,120,3,356.91
961,199,1,1,29.89
962,25,239,1,280.12
963,756,107,5,275.99
964,425,212,1,17.59
965,342,180,5,857.45
966,653,109,1,507.88
967,656,104,3,669.52
968,261,35,3,95.45
969,308,260,5,243.67
970,332,4,1,592.54
971,703,171,3,628.61
972,406,292,5,881.44
973,30,90,2,676.84
974,339,174,4,142.68
975,486,19,2,383.23
976,494,80,4,217.68
977,550,172,4,82.1
978,424,29,5,216.56
979,307,290,3,761.19
980,569,275,1,232.78
981,214,296,3,992.3
982,363,34,2,365.19
983,288,16,3,579.47
984,385,274,2,605.7
985,585,200,2,700.97
986,610,60,3,341.4
987,723,162,1,779.53
988,279,212,1,17.59
989,509,122,3,926.14
990,463,155,2,674.43
991,538,155,2,674.43
992,115,192,1,281.87
993,797,104,1,669.52
994,455,260,1,243.67
995,495,257,2,611.58
996,195,175,4,695.48
997,751,269,3,597.07
998,795,168,2,897.72
999,788,51,5,243.26
1000,693,68,2,194.46
1001,742,19,4,383.23
1002,397,268,1,76.05
1003,5,160,1,402.65
1004,704,45,3,510.14
1005,479,24,1,989.58
1006,534,160,1,402.65
1007,592,160,2,402.65
1008,329,103,2,613.62
1009,294,142,5,367.4
1010,327,226,1,90.18
1011,280,77,2,55.34
1012,281,59,1,125.4
1013,638,287,5,865.59
1014,105,106,5,268.14
1015,359,282,3,324.45
1016,278,73,3,195.63
1017,588,126,2,270.47
1018,73,160,5,402.65
1019,347,277,4,578.37
1020,52,67,1,246.78
1021,483,26,1,232.9
1022,393,28,1,913.57
1023,437,201,2,171.95
1024,722,229,5,450.93
1025,365,160,3,402.65
1026,203,274,1,605.7
1027,774,239,5,280.12
1028,135,48,4,541.68
1029,100,234,3,355.05
1030,701,239,4,280.12
1031,238,115,2,945.33
1032,632,133,3,681.12
1033,402,94,3,935.03
1034,333,233,4,428.38
1035,31,34,4,365.19
1036,116,180,4,857.45
1037,473,88,3,61.6
1038,787,179,5,905.31
1039,589,66,5,724.74
1040,106,208,1,851.04
1041,334,285,1,457.55
1042,310,273,4,889.98
1043,411,212,2,17.59
1044,636,125,5,783.47
1045,163,247,4,188.44
1046,68,175,2,695.48
1047,711,221,4,339.71
1048,581,176,5,68.91
1049,711,121,2,973.97
1050,679,40,5,683.3
1051,499,59,5,125.4
1052,611,238,3,195.58
1053,569,50,4,116.31
1054,181,158,4,458.14
1055,72,56,5,964.54
1056,790,195,3,228.1
1057,507,32,1,746.26
1058,223,72,5,801.59
1059,774,1,2,29.89
1060,677,77,4,55.34
1061,545,150,4,290.48
1062,631,296,4,992.3
1063,201,106,3,268.14
1064,307,292,3,881.44
1065,446,177,1,544.9
1066,597,5,5,98.23
1067,523,207,2,106.39
1068,302,32,3,746.26
1069,563,28,1,913.57
1070,721,287,3,865.59
1071,113,145,1,668.56
1072,241,222,5,185.93
1073,404,163,4,805.09
1074,416,196,4,755.46
1075,559,109,2,507.88
1076,487,72,2,801.59
1077,569,197,3,840.03
1078,428,79,3,170.48
1079,687,65,2,670.63
1080,12,37,1,598.43
1081,148,250,4,78.71
1082,140,44,2,972.03
1083,658,213,4,110.01
1084,713,218,5,325.69
1085,185,233,5,428.38
1086,435,283,4,333.15
1087,394,182,2,754.71
1088,191,218,5,325.69
1089,8,296,4,992.3
1090,749,122,5,926.14
1091,276,211,5,73.61
1092,591,188,1,88.53
1093,39,291,4,551.47
1094,722,189,1,867.52
1095,595,247,1,188.44
1096,146,270,3,441.96
1097,477,265,1,688.95
1098,536,46,2,842.46
1099,484,40,5,683.3
1100,594,160,5,402.65
1101,55,176,5,68.91
1102,798,6,4,563.44
1103,465,263,4,37.48
1104,588,170,4,840.66
1105,362,151,3,467.66
1106,172,19,5,383.23
1107,768,156,5,151.62
1108,267,32,4,746.26
1109,593,87,5,586.26
1110,53,150,5,290.48
1111,28,147,4,195.88
1112,85,65,5,670.63
1113,79,143,3,625.04
1114,136,144,3,721.16
1115,264,8,1,810.38
1116,619,90,5,676.84
1117,757,78,4,969.15
1118,379,90,3,676.84
1119,718,121,4,973.97
1120,186,271,1,701.24
1121,352,44,2,972.03
1122,610,79,4,170.48
1123,771,212,4,17.59
1124,244,226,2,90.18
1125,216,296,3,992.3
1126,56,136,1,112.86
1127,54,86,4,749.24
1128,409,244,3,698.93
1129,488,273,2,889.98
1130,389,200,4,700.97
1131,269,75,5,465.31
1132,446,7,3,224.34
1133,460,196,3,755.46
1134,543,22,1,611.09
1135,545,182,4,754.71
1136,626,140,3,258.45
1137,277,137,1,729.9
1138,262,300,4,835.55
1139,473,124,5,29.66
1140,789,100,5,136.79
1141,346,93,3,422.13
1142,561,6,1,563.44
1143,70,7,4,224.34
1144,101,269,1,597.07
1145,702,229,3,450.93
1146,225,146,3,698.72
1147,198,18,1,985.3
1148,635,48,1,541.68
