id_ordine,id_cliente,data_ordine,stato,totale
147,339,2024-08-17,annullato,976.47
148,227,2025-02-19,annullato,553.6
149,387,2024-06-14,in elaborazione,696.89
150,57,2024-03-31,consegnato,1359.65
151,304,2023-11-07,annullato,1058.6
152,158,2025-08-23,in elaborazione,448.83
153,307,2024-08-18,in elaborazione,25.3
154,155,2025-08-01,spedito,1537.03
155,392,2023-11-03,consegnato,586.0
156,62,2025-04-21,in elaborazione,999.8
157,221,2023-12-06,spedito,267.08
158,273,2023-12-12,spedito,1005.52
159,427,2025-09-20,consegnato,153.43
160,442,2025-05-12,in elaborazione,878.08
161,236,2025-01-25,in elaborazione,1725.6
162,295,2025-05-21,annullato,1151.07
163,364,2024-11-03,annullato,586.14
164,208,2024-10-27,in elaborazione,1932.74
165,88,2025-05-19,annullato,1665.73
166,471,2024-06-18,consegnato,185.38
167,433,2024-08-05,in elaborazione,494.2
168,302,2023-12-21,annullato,1052.69
169,203,2024-09-30,consegnato,1494.15
170,114,2024-10-30,consegnato,1560.44
171,40,2025-08-04,in elaborazione,1065.9
172,100,2024-08-19,consegnato,708.69
173,491,2025-06-03,spedito,480.18
174,75,2024-12-10,consegnato,402.57
175,309,2025-04-19,spedito,1522.83
176,336,2025-08-09,in elaborazione,362.52
177,396,2024-11-18,annullato,933.27
178,289,2025-08-30,annullato,1365.46
179,452,2023-10-14,consegnato,1729.85
180,322,2023-10-16,consegnato,310.41
181,35,2025-09-14,annullato,889.99
182,156,2024-02-28,consegnato,1186.93
183,181,2024-03-18,in elaborazione,627.71
184,232,2025-07-06,in elaborazione,123.21
185,426,2023-10-28,consegnato,162.69
186,443,2025-06-28,in elaborazione,1233.87
187,260,2023-10-30,annullato,930.8
188,284,2025-01-05,in elaborazione,904.97
189,415,2023-12-29,spedito,649.84
190,244,2024-06-23,spedito,1915.87
191,231,2025-06-03,in elaborazione,1623.82
192,429,2024-08-25,consegnato,1964.95
193,44,2024-01-03,spedito,87.89
194,363,2024-12-07,annullato,1982.06
195,269,2024-01-15,spedito,734.16
196,470,2025-07-19,consegnato,780.96
197,397,2025-01-13,consegnato,1361.01
198,27,2024-11-17,consegnato,141.16
199,49,2025-09-24,annullato,575.45
200,371,2023-10-18,spedito,673.39
201,299,2024-04-14,spedito,1834.33
202,159,2025-03-25,annullato,266.61
203,363,2024-07-27,in elaborazione,626.07
204,193,2024-06-23,consegnato,1628.24
205,344,2024-10-08,in elaborazione,1295.59
206,217,2025-02-13,consegnato,46.28
207,159,2025-04-05,spedito,1902.83
208,175,2024-10-28,annullato,392.09
209,71,2024-04-29,spedito,163.56
210,433,2025-04-26,in elaborazione,1020.3
211,277,2024-05-15,in elaborazione,1327.24
212,449,2025-07-08,spedito,1198.52
213,79,2025-01-12,spedito,369.88
214,355,2024-01-08,spedito,1445.15
215,23,2025-04-22,annullato,734.96
216,369,2025-09-12,spedito,1939.48
217,313,2024-08-25,consegnato,1507.26
218,402,2025-09-19,annullato,475.67
219,123,2023-10-10,consegnato,1931.54
220,402,2025-08-23,annullato,1808.91
221,100,2025-02-01,consegnato,1359.83
222,293,2025-03-19,annullato,928.74
223,145,2024-03-21,annullato,1010.78
224,215,2024-08-07,spedito,1635.61
225,411,2024-07-19,spedito,1747.27
226,27,2025-01-23,annullato,1749.49
227,284,2025-06-14,in elaborazione,1425.69
228,265,2024-07-02,in elaborazione,577.28
229,391,2024-01-20,spedito,552.85
230,464,2025-08-26,spedito,1663.78
231,47,2023-11-22,spedito,1635.24
232,453,2023-12-06,consegnato,1861.64
233,213,2024-06-05,in elaborazione,798.94
234,192,2025-01-18,spedito,778.47
235,42,2023-12-02,consegnato,456.83
236,164,2025-06-26,in elaborazione,1679.96
237,333,2024-01-11,consegnato,1584.85
238,71,2025-08-14,in elaborazione,580.89
239,425,2024-11-19,annullato,1395.18
240,72,2025-02-15,annullato,902.72
241,3,2025-05-29,in elaborazione,47.82
242,111,2024-12-27,spedito,1102.12
243,373,2024-05-17,annullato,231.26
244,148,2023-12-31,spedito,609.29
245,25,2024-11-29,spedito,845.45
246,407,2024-05-21,annullato,134.99
247,429,2024-03-31,annullato,1197.51
248,9,2024-04-04,spedito,1439.9
249,150,2024-08-11,annullato,13.11
250,181,2024-11-22,spedito,1145.62
251,96,2024-10-12,in elaborazione,1051.73
252,185,2024-06-30,in elaborazione,1907.27
253,279,2025-07-19,in elaborazione,787.0
254,241,2023-10-28,in elaborazione,1274.98
255,192,2025-01-05,consegnato,1497.16
256,183,2024-01-24,in elaborazione,696.16
257,376,2025-05-17,in elaborazione,1545.29
258,377,2024-08-19,consegnato,275.49
259,181,2024-03-07,consegnato,1628.88
260,90,2024-02-17,annullato,1961.83
261,246,2025-07-01,spedito,1624.88
262,33,2025-04-21,annullato,83.6
263,104,2024-02-07,in elaborazione,1584.31
264,454,2024-03-23,in elaborazione,638.04
265,159,2025-01-21,annullato,1978.35
266,279,2025-01-17,annullato,514.09
267,386,2024-11-03,spedito,579.36
268,442,2024-01-30,in elaborazione,1732.94
269,170,2023-12-04,consegnato,257.71
270,189,2024-04-11,annullato,1780.08
271,381,2024-09-22,annullato,1790.33
272,198,2024-05-08,consegnato,1947.71
273,255,2024-06-24,annullato,741.02
274,409,2024-06-26,consegnato,1604.28
275,373,2024-08-27,annullato,167.06
276,309,2023-12-06,spedito,1095.49
277,165,2023-12-18,in elaborazione,169.34
278,339,2024-04-23,consegnato,619.93
279,309,2025-10-02,annullato,341.62
280,228,2023-11-05,consegnato,899.79
281,373,2025-03-31,consegnato,1233.55
282,223,2025-05-09,consegnato,1282.54
283,406,2025-08-03,in elaborazione,159.33
284,327,2025-04-27,annullato,732.99
285,411,2024-05-23,spedito,1906.05
286,74,2024-01-17,annullato,79.25
287,35,2024-11-14,spedito,1559.25
288,188,2024-11-27,consegnato,771.88
289,291,2024-08-19,in elaborazione,1214.14
290,348,2025-10-07,annullato,1898.16
291,191,2025-05-10,annullato,1528.54
292,294,2023-11-10,spedito,1063.63
293,204,2025-07-13,consegnato,1302.63
294,128,2024-07-18,in elaborazione,61.57
295,96,2025-02-08,annullato,1040.31
296,468,2023-10-24,in elaborazione,530.94
297,134,2025-06-03,annullato,437.0
298,314,2025-06-14,consegnato,1391.02
299,252,2024-06-26,spedito,254.05
300,437,2024-04-09,in elaborazione,909.56
301,461,2024-10-24,annullato,1994.55
302,415,2025-10-03,consegnato,1339.0
303,364,2024-08-10,in elaborazione,1104.49
304,149,2024-09-04,consegnato,1704.21
305,365,2024-09-10,spedito,1589.46
306,261,2025-06-13,spedito,251.51
307,103,2025-05-07,spedito,481.11
308,253,2023-11-13,in elaborazione,728.18
309,294,2024-11-14,consegnato,940.14
310,283,2025-03-29,spedito,1227.78
311,45,2023-12-21,in elaborazione,625.49
312,368,2024-01-06,annullato,1056.13
313,394,2025-05-09,annullato,1648.45
314,38,2024-01-16,spedito,1945.04
315,329,2024-09-03,in elaborazione,905.45
316,349,2025-06-05,consegnato,265.39
317,425,2025-07-26,spedito,1537.89
318,67,2023-10-21,annullato,1010.7
319,445,2025-10-06,in elaborazione,1664.47
320,266,2023-11-09,spedito,615.21
321,83,2024-03-05,consegnato,1870.13
322,116,2025-08-17,consegnato,1895.49
323,266,2023-11-20,consegnato,1693.41
324,129,2024-11-15,spedito,1273.76
325,283,2025-08-25,consegnato,259.09
326,156,2024-03-13,in elaborazione,1010.12
327,87,2024-07-14,spedito,350.69
328,320,2024-08-06,consegnato,1686.63
329,289,2024-08-12,in elaborazione,1652.22
330,15,2025-08-25,in elaborazione,100.47
331,329,2025-01-21,consegnato,1305.75
332,393,2023-12-15,annullato,1240.04
333,16,2025-07-04,annullato,1779.1
334,280,2025-08-14,consegnato,1287.4
335,155,2025-05-22,annullato,497.31
336,414,2023-10-29,annullato,601.89
337,38,2024-08-03,in elaborazione,324.58
338,213,2024-02-04,annullato,934.24
339,175,2025-03-22,spedito,632.04
340,368,2024-09-25,consegnato,1471.06
341,441,2023-12-03,consegnato,1950.99
342,67,2024-06-12,consegnato,1034.81
343,55,2025-10-07,consegnato,491.06
344,63,2025-05-08,consegnato,904.7
345,73,2024-03-21,in elaborazione,110.7
346,485,2023-12-24,annullato,1729.69
347,215,2024-02-21,spedito,1925.74
348,462,2025-05-26,spedito,1628.82
349,479,2024-03-25,consegnato,387.77
350,82,2024-04-22,annullato,1991.98
351,240,2025-09-04,annullato,1759.36
352,255,2024-06-28,in elaborazione,189.2
353,202,2024-07-10,annullato,1933.71
354,111,2023-11-17,consegnato,106.83
355,145,2025-07-03,annullato,1199.06
356,432,2024-09-05,annullato,578.64
357,5,2024-11-06,in elaborazione,867.55
358,452,2024-12-08,consegnato,1457.74
359,392,2024-02-27,annullato,738.22
360,206,2024-09-10,in elaborazione,1144.86
361,100,2024-12-25,consegnato,1110.91
362,38,2023-12-31,annullato,1013.47
363,392,2024-10-19,consegnato,1652.37
364,320,2025-02-05,in elaborazione,266.04
365,50,2025-07-27,annullato,752.66
366,174,2024-10-18,consegnato,1512.38
367,102,2024-09-01,annullato,1005.16
368,24,2025-05-22,in elaborazione,282.7
369,171,2024-12-17,annullato,1043.47
370,77,2025-02-19,spedito,662.65
371,314,2025-09-07,consegnato,333.38
372,316,2024-01-26,consegnato,1191.51
373,260,2025-02-01,annullato,1420.39
374,154,2024-03-19,annullato,1633.34
375,189,2024-11-18,consegnato,1350.87
376,214,2025-07-14,consegnato,1595.54
377,372,2024-04-29,in elaborazione,1197.85
378,136,2024-05-20,spedito,1445.59
379,299,2025-05-12,annullato,349.32
380,323,2023-11-08,annullato,304.07
381,349,2024-01-05,spedito,72.83
382,486,2024-04-13,in elaborazione,389.66
383,226,2024-05-31,consegnato,843.37
384,212,2025-09-03,spedito,826.65
385,397,2024-12-11,annullato,1746.91
386,377,2023-10-11,in elaborazione,1414.49
387,266,2025-06-15,spedito,1126.16
388,340,2024-11-20,annullato,1055.7
389,161,2024-09-19,spedito,924.73
390,273,2025-06-05,consegnato,1097.08
391,347,2024-03-06,consegnato,1224.05
392,99,2024-06-30,spedito,565.22
393,153,2024-05-26,spedito,1883.56
394,153,2024-04-09,consegnato,1412.75
395,354,2024-10-12,annullato,640.91
396,179,2025-08-08,consegnato,582.7
397,294,2025-03-09,annullato,1792.56
398,203,2025-09-15,consegnato,1909.67
399,412,2024-12-08,spedito,588.0
400,148,2025-05-02,in elaborazione,699.26
401,227,2025-09-01,consegnato,1497.2
402,110,2024-11-21,spedito,1657.62
403,139,2024-01-22,consegnato,283.17
404,316,2024-08-19,spedito,492.49
405,343,2023-11-12,spedito,1279.51
406,27,2024-03-20,in elaborazione,832.47
407,368,2024-04-06,annullato,210.08
408,395,2025-02-20,spedito,20.31
409,282,2024-07-24,spedito,819.75
410,479,2025-01-27,annullato,960.12
411,103,2025-04-22,consegnato,649.12
412,331,2024-01-12,in elaborazione,1816.79
413,46,2023-11-18,spedito,1074.95
414,371,2023-12-26,in elaborazione,1827.33
415,90,2025-03-09,annullato,1765.67
416,91,2024-07-21,in elaborazione,1994.37
417,204,2024-09-22,annullato,380.76
418,384,2025-03-27,consegnato,1754.72
419,5,2025-03-30,consegnato,1140.24
420,55,2023-10-22,consegnato,576.28
421,329,2025-01-20,annullato,1779.63
422,69,2025-07-07,annullato,552.95
423,415,2023-11-13,in elaborazione,668.06
424,375,2024-11-05,annullato,1300.09
425,368,2024-07-20,spedito,38.03
426,173,2024-12-19,consegnato,1139.88
427,388,2025-01-01,spedito,359.23
428,439,2025-04-09,annullato,1655.71
429,264,2023-11-27,consegnato,182.61
430,343,2025-06-22,in elaborazione,377.71
431,72,2024-05-19,annullato,653.97
432,128,2024-05-16,in elaborazione,528.96
433,121,2024-12-26,annullato,1509.98
434,489,2024-02-26,consegnato,610.87
435,371,2025-10-03,in elaborazione,530.49
436,185,2023-10-20,spedito,133.63
437,61,2025-04-15,annullato,620.54
438,208,2024-09-23,consegnato,1383.68
439,328,2024-04-23,consegnato,741.41
440,114,2025-01-02,spedito,1915.15
441,245,2025-06-26,spedito,915.41
442,311,2024-02-13,consegnato,837.53
443,282,2024-08-15,annullato,1517.13
444,411,2025-05-17,spedito,1526.1
445,349,2025-01-14,in elaborazione,1055.76
446,271,2025-04-08,consegnato,165.42
447,289,2024-12-25,in elaborazione,132.9
448,281,2025-02-03,spedito,1149.68
449,77,2025-02-05,spedito,662.95
450,267,2024-08-29,annullato,241.32
451,106,2025-05-25,annullato,190.97
452,262,2025-02-04,annullato,1619.3
453,233,2024-12-25,spedito,1031.36
454,234,2025-06-26,in elaborazione,1122.01
455,345,2024-07-25,consegnato,1449.33
456,203,2025-08-13,consegnato,1634.74
457,382,2025-06-05,spedito,1160.84
458,24,2025-03-01,annullato,695.61
459,33,2024-05-25,in elaborazione,1869.82
460,36,2025-07-13,annullato,73.15
461,210,2024-12-10,spedito,1540.25
462,393,2025-02-17,annullato,755.18
463,457,2025-01-19,annullato,902.59
464,470,2025-05-19,annullato,757.53
465,350,2025-01-16,spedito,1310.53
466,179,2025-05-09,in elaborazione,365.16
467,276,2025-04-26,annullato,1062.4
468,373,2025-03-15,spedito,1671.3
469,388,2025-03-17,in elaborazione,1957.2
470,238,2025-05-21,annullato,1068.55
471,422,2025-08-01,spedito,502.55
472,178,2024-09-26,spedito,558.54
473,480,2023-12-16,in elaborazione,74.11
474,339,2025-08-28,annullato,1233.7
475,480,2024-11-16,in elaborazione,488.93
476,35,2024-05-24,in elaborazione,1191.95
477,229,2024-01-28,in elaborazione,497.02
478,23,2024-11-26,annullato,883.54
479,277,2025-06-07,spedito,1511.23
480,398,2024-07-18,in elaborazione,288.87
481,149,2024-12-30,spedito,1633.41
482,375,2024-08-01,consegnato,1159.17
483,396,2025-02-13,consegnato,481.44
484,449,2024-12-22,spedito,1971.53
485,267,2024-04-17,spedito,832.98
486,141,2024-01-30,in elaborazione,1117.87
487,303,2024-06-20,spedito,1255.73
488,219,2024-12-20,annullato,103.3
489,177,2023-12-26,annullato,1573.75
490,164,2024-05-23,annullato,822.44
491,154,2023-10-24,annullato,375.92
492,276,2025-05-29,annullato,489.53
493,116,2024-10-30,consegnato,1716.51
494,74,2025-08-27,annullato,1830.33
495,288,2024-06-04,annullato,1935.89
496,286,2024-12-23,spedito,782.95
497,131,2025-01-30,spedito,667.22
498,41,2025-06-14,annullato,1695.8
499,48,2025-08-03,spedito,112.56
500,194,2024-03-07,in elaborazione,1748.5
501,97,2024-02-21,spedito,963.99
502,446,2025-08-29,consegnato,613.34
503,466,2024-03-03,in elaborazione,431.5
504,98,2023-12-31,in elaborazione,1496.29
505,387,2024-02-28,annullato,1829.74
506,357,2025-07-20,spedito,799.3
507,123,2025-06-05,consegnato,1553.27
508,195,2025-06-25,annullato,1071.96
509,184,2025-07-05,consegnato,530.51
510,263,2024-03-29,annullato,937.35
511,412,2024-05-23,annullato,1525.64
512,164,2025-06-05,spedito,747.7
513,212,2024-01-25,in elaborazione,1129.42
514,114,2025-06-01,spedito,42.28
515,284,2024-09-05,annullato,597.43
516,101,2024-08-16,consegnato,467.74
517,292,2024-12-19,spedito,1003.61
518,336,2024-12-15,consegnato,522.08
519,421,2025-10-05,annullato,1933.35
520,329,2023-11-19,annullato,927.05
521,376,2024-08-19,consegnato,346.84
522,369,2025-02-02,annullato,376.26
523,456,2025-04-03,in elaborazione,1052.65
524,430,2023-10-25,in elaborazione,1890.92
525,343,2024-12-14,in elaborazione,1531.03
526,212,2024-10-09,spedito,1686.66
527,119,2024-02-05,in elaborazione,1417.27
528,5,2024-08-12,spedito,1016.41
529,192,2025-02-16,in elaborazione,1239.49
530,342,2024-01-07,annullato,1321.98
531,9,2024-09-27,in elaborazione,1069.1
532,211,2025-05-23,in elaborazione,43.29
533,370,2024-08-27,consegnato,1076.12
534,147,2025-08-30,in elaborazione,1009.41
535,358,2023-10-31,annullato,1614.27
536,466,2025-02-17,spedito,222.96
537,50,2024-09-15,spedito,489.53
538,318,2024-02-20,consegnato,1632.28
539,137,2025-05-11,annullato,167.25
540,492,2024-03-23,annullato,923.41
541,125,2024-06-04,spedito,606.95
542,424,2024-12-17,in elaborazione,1310.93
543,440,2025-04-22,in elaborazione,196.07
544,195,2024-04-02,annullato,1109.88
545,29,2024-11-14,in elaborazione,1408.66
546,43,2025-01-21,annullato,1692.21
547,331,2024-03-27,consegnato,1136.05
548,440,2024-06-17,in elaborazione,1790.63
549,471,2025-03-11,in elaborazione,467.24
550,462,2025-03-05,annullato,549.48
551,474,2025-01-17,in elaborazione,1372.01
552,144,2025-09-12,in elaborazione,366.92
553,436,2024-07-15,consegnato,41.16
554,107,2025-02-24,spedito,1506.99
555,365,2024-04-14,annullato,1858.46
556,154,2025-09-04,spedito,1132.28
557,291,2024-11-15,annullato,1357.3
558,277,2024-01-23,consegnato,773.85
559,379,2025-03-01,spedito,1583.09
560,353,2025-09-03,in elaborazione,1006.58
561,499,2024-12-16,consegnato,116.86
562,224,2025-05-17,spedito,1678.96
563,175,2023-10-21,annullato,1938.15
564,168,2025-07-18,in elaborazione,1271.9
565,402,2025-07-04,annullato,986.3
566,183,2024-05-16,annullato,869.38
567,349,2025-07-12,annullato,180.53
568,317,2023-10-10,consegnato,1598.13
569,366,2025-09-03,in elaborazione,173.26
570,79,2024-07-01,annullato,1426.24
571,325,2024-08-19,spedito,1481.91
572,163,2025-08-27,consegnato,222.04
573,3,2025-03-06,consegnato,895.02
574,390,2024-01-07,consegnato,213.44
575,45,2024-01-26,spedito,867.65
576,286,2025-09-07,annullato,215.55
577,46,2025-03-30,consegnato,1112.9
578,306,2024-12-20,consegnato,1728.8
579,7,2025-01-23,consegnato,833.48
580,399,2024-09-09,in elaborazione,1452.44
581,287,2024-06-29,spedito,1148.2
582,87,2023-10-31,annullato,347.31
583,138,2024-12-07,consegnato,544.13
584,75,2025-06-23,in elaborazione,342.74
585,142,2025-07-28,annullato,606.51
586,401,2025-06-08,in elaborazione,728.64
587,484,2024-01-30,spedito,1444.59
588,254,2024-08-18,spedito,921.14
589,70,2025-01-08,consegnato,23.47
590,203,2025-05-22,consegnato,1684.81
591,195,2024-07-12,consegnato,886.04
592,221,2024-12-03,spedito,607.87
593,309,2025-03-16,spedito,963.23
594,91,2024-01-29,annullato,1937.76
595,150,2024-09-09,annullato,1935.85
596,401,2025-03-04,spedito,658.51
597,144,2024-05-01,annullato,736.38
598,478,2023-12-19,spedito,1188.53
599,280,2025-06-07,spedito,1366.61
600,282,2024-12-08,in elaborazione,1906.48
601,237,2024-07-31,spedito,882.53
602,150,2024-12-25,in elaborazione,1639.74
603,408,2024-07-27,annullato,1349.23
604,72,2024-07-01,consegnato,491.62
605,338,2024-08-19,spedito,1433.32
606,405,2025-02-08,annullato,157.19
607,307,2023-12-03,annullato,1168.67
608,274,2025-09-24,annullato,1091.85
609,405,2025-07-13,consegnato,1406.25
610,416,2024-03-24,in elaborazione,227.65
611,128,2023-10-19,consegnato,341.01
612,314,2024-12-17,in elaborazione,1130.81
613,331,2024-10-16,annullato,1933.95
614,170,2025-06-27,annullato,220.83
615,51,2024-09-02,consegnato,451.78
616,383,2023-12-23,spedito,897.1
617,201,2025-03-12,annullato,1546.96
618,302,2025-07-14,spedito,696.49
619,13,2025-03-23,annullato,218.05
620,213,2025-08-23,in elaborazione,240.98
621,482,2024-01-29,spedito,703.17
622,176,2025-05-25,annullato,1570.7
623,267,2024-03-03,annullato,703.12
624,50,2025-06-25,annullato,1446.77
625,232,2024-11-21,consegnato,143.68
626,23,2024-06-07,in elaborazione,54.94
627,176,2024-12-24,in elaborazione,1357.51
628,85,2024-06-25,spedito,1036.83
629,283,2025-09-24,spedito,668.67
630,219,2025-05-12,annullato,471.39
631,208,2024-01-09,spedito,380.91
632,337,2024-04-20,annullato,797.21
633,378,2025-07-24,spedito,904.65
634,220,2024-03-05,annullato,18.86
635,110,2025-06-02,spedito,563.91
636,361,2024-05-02,in elaborazione,1158.92
637,410,2024-08-12,spedito,737.93
638,101,2024-12-01,annullato,236.77
639,344,2024-01-31,annullato,1060.15
640,328,2024-04-11,consegnato,1197.97
641,313,2025-01-06,annullato,1178.14
642,179,2025-06-17,consegnato,1692.58
643,317,2025-05-30,spedito,1629.34
644,362,2024-06-05,consegnato,1838.18
645,303,2025-07-29,in elaborazione,1347.5
646,161,2024-11-06,in elaborazione,484.76
647,60,2024-05-06,spedito,752.88
648,73,2025-02-05,annullato,842.3
649,71,2025-09-05,annullato,851.85
650,250,2023-11-08,spedito,1114.28
651,251,2025-08-01,consegnato,289.19
652,162,2023-10-30,annullato,1242.63
653,444,2025-07-15,consegnato,1904.17
654,249,2024-02-12,spedito,398.31
655,197,2024-10-13,annullato,824.18
656,252,2025-05-14,annullato,1423.18
657,228,2024-03-29,annullato,342.83
658,290,2023-10-08,in elaborazione,1593.8
659,113,2023-10-13,consegnato,75.06
660,116,2025-03-09,consegnato,344.74
661,235,2025-07-30,annullato,1103.96
662,58,2024-11-10,in elaborazione,543.1
663,279,2024-09-09,consegnato,1088.67
664,388,2025-01-16,in elaborazione,1522.41
665,226,2024-08-06,spedito,1979.65
666,53,2025-09-11,spedito,602.44
667,17,2025-08-25,annullato,533.0
668,442,2024-08-05,in elaborazione,883.75
669,61,2023-11-25,spedito,427.66
670,378,2023-11-19,consegnato,1723.49
671,313,2024-01-06,annullato,340.3
672,72,2025-07-16,spedito,1628.92
673,413,2025-05-22,in elaborazione,1144.45
674,273,2024-08-03,consegnato,1197.75
675,87,2024-11-02,consegnato,1958.21
676,150,2024-03-12,consegnato,1149.74
677,488,2023-12-05,in elaborazione,279.82
678,385,2023-12-10,annullato,1838.35
679,142,2025-03-10,spedito,1405.84
680,68,2024-03-06,spedito,301.02
681,165,2025-07-01,spedito,1525.33
682,347,2025-01-25,annullato,984.02
683,296,2024-06-24,consegnato,1259.35
